ID,CONTINENT,COUNTRY,YEAR,DEPARTURE
1,ASIA,AFGHANISTAN,2008,28
2,ASIA,AFGHANISTAN,2009,70
3,ASIA,AFGHANISTAN,2010,106
4,ASIA,AFGHANISTAN,2011,255
5,ASIA,AFGHANISTAN,2012,110
6,ASIA,AFGHANISTAN,2013,138
7,ASIA,AFGHANISTAN,2014,140
8,ASIA,AFGHANISTAN,2015,151
9,ASIA,AFGHANISTAN,2016,89
10,ASIA,AFGHANISTAN,2017,130
11,ASIA,AFGHANISTAN,2018,226
12,EUROPE,ALBANIA,2008,3716
13,EUROPE,ALBANIA,2009,3404
14,EUROPE,ALBANIA,2010,3443
15,EUROPE,ALBANIA,2011,4120
16,EUROPE,ALBANIA,2012,3959
17,EUROPE,ALBANIA,2013,3928
18,EUROPE,ALBANIA,2014,4146
19,EUROPE,ALBANIA,2015,4504
20,EUROPE,ALBANIA,2016,4852
21,EUROPE,ALBANIA,2017,5186
22,EUROPE,ALBANIA,2018,5415
23,AFRICA,ALGERIA,2008,1539
24,AFRICA,ALGERIA,2009,1677
25,AFRICA,ALGERIA,2010,1757
26,AFRICA,ALGERIA,2011,1715
27,AFRICA,ALGERIA,2012,1911
28,AFRICA,ALGERIA,2013,2136
29,AFRICA,ALGERIA,2014,2839
30,AFRICA,ALGERIA,2015,3638
31,AFRICA,ALGERIA,2016,4530
32,AFRICA,ALGERIA,2017,5058
33,AFRICA,ALGERIA,2018,5610
34,SOUTH AMERICA,ARGENTINA,2008,4614
35,SOUTH AMERICA,ARGENTINA,2009,4981
36,SOUTH AMERICA,ARGENTINA,2010,5307
37,SOUTH AMERICA,ARGENTINA,2011,6686
38,SOUTH AMERICA,ARGENTINA,2012,7266
39,SOUTH AMERICA,ARGENTINA,2013,6746
40,SOUTH AMERICA,ARGENTINA,2014,6517
41,SOUTH AMERICA,ARGENTINA,2015,7807
42,SOUTH AMERICA,ARGENTINA,2016,10417
43,SOUTH AMERICA,ARGENTINA,2017,12213
44,SOUTH AMERICA,ARGENTINA,2018,11130
45,ASIA,ARMENIA,2008,516
46,ASIA,ARMENIA,2009,526
47,ASIA,ARMENIA,2010,563
48,ASIA,ARMENIA,2011,715
49,ASIA,ARMENIA,2012,965
50,ASIA,ARMENIA,2013,1083
51,ASIA,ARMENIA,2014,1198
52,ASIA,ARMENIA,2015,1187
53,ASIA,ARMENIA,2016,1263
54,ASIA,ARMENIA,2017,1482
55,ASIA,ARMENIA,2018,1623
56,OCEANIA,AUSTRALIA,2008,5808
57,OCEANIA,AUSTRALIA,2009,6276
58,OCEANIA,AUSTRALIA,2010,7103
59,OCEANIA,AUSTRALIA,2011,7788
60,OCEANIA,AUSTRALIA,2012,8212
61,OCEANIA,AUSTRALIA,2013,9052
62,OCEANIA,AUSTRALIA,2014,9480
63,OCEANIA,AUSTRALIA,2015,9810
64,OCEANIA,AUSTRALIA,2016,10390
65,OCEANIA,AUSTRALIA,2017,10932
66,OCEANIA,AUSTRALIA,2018,11403
67,EUROPE,AUSTRIA,2008,9677
68,EUROPE,AUSTRIA,2009,10121
69,EUROPE,AUSTRIA,2010,9882
70,EUROPE,AUSTRIA,2011,9874
71,EUROPE,AUSTRIA,2012,10960
72,EUROPE,AUSTRIA,2013,10671
73,EUROPE,AUSTRIA,2014,10994
74,EUROPE,AUSTRIA,2015,10628
75,EUROPE,AUSTRIA,2016,11534
76,EUROPE,AUSTRIA,2017,11491
77,EUROPE,AUSTRIA,2018,11883
78,ASIA,AZERBAIJAN,2008,2162
79,ASIA,AZERBAIJAN,2009,2363
80,ASIA,AZERBAIJAN,2010,3176
81,ASIA,AZERBAIJAN,2011,3550
82,ASIA,AZERBAIJAN,2012,3874
83,ASIA,AZERBAIJAN,2013,4285
84,ASIA,AZERBAIJAN,2014,4244
85,ASIA,AZERBAIJAN,2015,4096
86,ASIA,AZERBAIJAN,2016,4282
87,ASIA,AZERBAIJAN,2017,4109
