ID,CONTINENT,COUNTRY,YEAR,EXPENDITURE
1,ASIA,AFGHANISTAN,2008,8
2,ASIA,AFGHANISTAN,2009,36
3,ASIA,AFGHANISTAN,2010,75
4,ASIA,AFGHANISTAN,2011,85
5,ASIA,AFGHANISTAN,2012,102
6,ASIA,AFGHANISTAN,2013,138
7,ASIA,AFGHANISTAN,2014,109
8,ASIA,AFGHANISTAN,2015,79
9,ASIA,AFGHANISTAN,2016,49
10,ASIA,AFGHANISTAN,2017,2
11,ASIA,AFGHANISTAN,2018,28
12,EUROPE,ALBANIA,2008,1850
13,EUROPE,ALBANIA,2009,2013
14,EUROPE,ALBANIA,2010,1778
15,EUROPE,ALBANIA,2011,1833
16,EUROPE,ALBANIA,2012,1623
17,EUROPE,ALBANIA,2013,1670
18,EUROPE,ALBANIA,2014,1849
19,EUROPE,ALBANIA,2015,1613
20,EUROPE,ALBANIA,2016,1821
21,EUROPE,ALBANIA,2017,2050
22,EUROPE,ALBANIA,2018,2306
23,AFRICA,ANGOLA,2008,293
24,AFRICA,ANGOLA,2009,554
25,AFRICA,ANGOLA,2010,726
26,AFRICA,ANGOLA,2011,653
27,AFRICA,ANGOLA,2012,711
28,AFRICA,ANGOLA,2013,1241
29,AFRICA,ANGOLA,2014,1597
30,AFRICA,ANGOLA,2015,1171
31,AFRICA,ANGOLA,2016,628
32,AFRICA,ANGOLA,2017,884
33,AFRICA,ANGOLA,2018,557
34,SOUTH AMERICA,ARGENTINA,2008,5273
35,SOUTH AMERICA,ARGENTINA,2009,4455
36,SOUTH AMERICA,ARGENTINA,2010,5605
37,SOUTH AMERICA,ARGENTINA,2011,6058
38,SOUTH AMERICA,ARGENTINA,2012,5665
39,SOUTH AMERICA,ARGENTINA,2013,5199
40,SOUTH AMERICA,ARGENTINA,2014,5645
41,SOUTH AMERICA,ARGENTINA,2015,5441
42,SOUTH AMERICA,ARGENTINA,2016,5466
43,SOUTH AMERICA,ARGENTINA,2017,5835
44,SOUTH AMERICA,ARGENTINA,2018,5999
45,ASIA,ARMENIA,2008,564
46,ASIA,ARMENIA,2009,570
47,ASIA,ARMENIA,2010,694
48,ASIA,ARMENIA,2011,762
49,ASIA,ARMENIA,2012,853
50,ASIA,ARMENIA,2013,905
51,ASIA,ARMENIA,2014,994
52,ASIA,ARMENIA,2015,956
53,ASIA,ARMENIA,2016,988
54,ASIA,ARMENIA,2017,1140
55,ASIA,ARMENIA,2018,1237
56,NORTH AMERICA,ARUBA,2008,1352
57,NORTH AMERICA,ARUBA,2009,1223
58,NORTH AMERICA,ARUBA,2010,1254
59,NORTH AMERICA,ARUBA,2011,1358
60,NORTH AMERICA,ARUBA,2012,1412
61,NORTH AMERICA,ARUBA,2013,1506
62,NORTH AMERICA,ARUBA,2014,1756
